Filter Id,Filter Name,Filter Enable,Filter Visibility,View Type,View Name,Is View Template,View Template Name Applied,Sheet Info
1909932,"Site-Family Name-Contains-""Bin""",True,True,View Template,Plan-Setting Out Export,True,N/A,Not in a sheet
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,False,FloorPlan,XX-9100-9_Level 8,False,Plan-Key Values-1_2500,XX-9100 - Key Values Check Room - 9
1788778,Site-Family Name-Bike,True,False,FloorPlan,XX-9100-9_Level 8,False,Plan-Key Values-1_2500,XX-9100 - Key Values Check Room - 9
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,True,AreaPlan,ZZ-80002-1_Level 0,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 1
1788778,Site-Family Name-Bike,True,True,AreaPlan,ZZ-80002-1_Level 0,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 1
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,ZZ-80002-1_Level 0,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 1
3848791,Floors-SURV,True,False,AreaPlan,ZZ-80002-1_Level 0,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 1
8775803,GM-Riser,True,False,AreaPlan,ZZ-80002-1_Level 0,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 1
11845451,Property Lines-Demolition Plan,True,False,AreaPlan,ZZ-80002-1_Level 0,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 1
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,True,AreaPlan,ZZ-80002-2_Level 1,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 2
1788778,Site-Family Name-Bike,True,True,AreaPlan,ZZ-80002-2_Level 1,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 2
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,ZZ-80002-2_Level 1,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 2
3848791,Floors-SURV,True,False,AreaPlan,ZZ-80002-2_Level 1,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 2
8775803,GM-Riser,True,False,AreaPlan,ZZ-80002-2_Level 1,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 2
11845451,Property Lines-Demolition Plan,True,False,AreaPlan,ZZ-80002-2_Level 1,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 2
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,True,AreaPlan,ZZ-80002-3_Level 2,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 3
1788778,Site-Family Name-Bike,True,True,AreaPlan,ZZ-80002-3_Level 2,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 3
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,ZZ-80002-3_Level 2,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 3
3848791,Floors-SURV,True,False,AreaPlan,ZZ-80002-3_Level 2,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 3
8775803,GM-Riser,True,False,AreaPlan,ZZ-80002-3_Level 2,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 3
11845451,Property Lines-Demolition Plan,True,False,AreaPlan,ZZ-80002-3_Level 2,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 3
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,True,AreaPlan,ZZ-80002-4_Level 3,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 4
1788778,Site-Family Name-Bike,True,True,AreaPlan,ZZ-80002-4_Level 3,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 4
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,ZZ-80002-4_Level 3,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 4
3848791,Floors-SURV,True,False,AreaPlan,ZZ-80002-4_Level 3,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 4
8775803,GM-Riser,True,False,AreaPlan,ZZ-80002-4_Level 3,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 4
11845451,Property Lines-Demolition Plan,True,False,AreaPlan,ZZ-80002-4_Level 3,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 4
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,True,AreaPlan,ZZ-80002-5_Level 4,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 5
1788778,Site-Family Name-Bike,True,True,AreaPlan,ZZ-80002-5_Level 4,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 5
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,ZZ-80002-5_Level 4,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 5
3848791,Floors-SURV,True,False,AreaPlan,ZZ-80002-5_Level 4,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 5
8775803,GM-Riser,True,False,AreaPlan,ZZ-80002-5_Level 4,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 5
11845451,Property Lines-Demolition Plan,True,False,AreaPlan,ZZ-80002-5_Level 4,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 5
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,True,AreaPlan,ZZ-80002-6_Level 5,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 6
1788778,Site-Family Name-Bike,True,True,AreaPlan,ZZ-80002-6_Level 5,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 6
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,ZZ-80002-6_Level 5,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 6
3848791,Floors-SURV,True,False,AreaPlan,ZZ-80002-6_Level 5,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 6
8775803,GM-Riser,True,False,AreaPlan,ZZ-80002-6_Level 5,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 6
11845451,Property Lines-Demolition Plan,True,False,AreaPlan,ZZ-80002-6_Level 5,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 6
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,True,AreaPlan,ZZ-80002-7_Level 6,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 7
1788778,Site-Family Name-Bike,True,True,AreaPlan,ZZ-80002-7_Level 6,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 7
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,ZZ-80002-7_Level 6,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 7
3848791,Floors-SURV,True,False,AreaPlan,ZZ-80002-7_Level 6,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 7
8775803,GM-Riser,True,False,AreaPlan,ZZ-80002-7_Level 6,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 7
11845451,Property Lines-Demolition Plan,True,False,AreaPlan,ZZ-80002-7_Level 6,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 7
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,True,AreaPlan,ZZ-80002-8_Level 7,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 8
1788778,Site-Family Name-Bike,True,True,AreaPlan,ZZ-80002-8_Level 7,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 8
1909932,"Site-Family Name-Contains-""Bin""",True,True,AreaPlan,ZZ-80002-8_Level 7,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 8
3848791,Floors-SURV,True,False,AreaPlan,ZZ-80002-8_Level 7,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 8
8775803,GM-Riser,True,False,AreaPlan,ZZ-80002-8_Level 7,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 8
11845451,Property Lines-Demolition Plan,True,False,AreaPlan,ZZ-80002-8_Level 7,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 8
1788759,"Property Lines-Name-Equals-""Site Boundary""",True,True,AreaPlan,ZZ-80002-9_Level 8,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 9
1788778,Site-Family Name-Bike,True,True,AreaPlan,ZZ-80002-9_Level 8,False,Plan-8000,ZZ-80002 - Proposed NIA Key - 9
